분류,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
분류,합계,불취학,초등학교,초등학교,초등학교,중학교,중학교,중학교,고등학교,고등학교,고등학교,전문대학,전문대학,전문대학,대학교,대학교,대학교,대학원,기타,미상
분류,소계,소계,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,재중,중퇴,졸업,소계,소계,소계
소계,66247,14,56,17,68,13286,1395,1748,23084,9492,4232,550,38,13,1494,43,-,-,-,10717
소계,54497,12,51,14,63,12076,1243,1383,18166,7664,3336,426,33,11,1128,33,-,-,-,8858
소계,27809,7,27,10,44,7404,800,839,9407,4611,1483,160,13,4,402,14,-,-,-,2584
절도,17141,4,22,5,28,6125,503,433,5990,2358,560,68,3,1,157,5,-,-,-,879
장물,175,-,-,1,-,46,2,3,69,19,13,1,-,-,4,-,-,-,-,17
사기,8088,2,4,3,13,843,245,324,2405,1899,734,65,7,3,152,9,-,-,-,1380
횡령,1280,-,-,-,3,199,23,37,600,164,79,9,1,-,48,-,-,-,-,117
배임,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
손괴,1124,1,1,1,-,191,27,42,343,171,97,17,2,-,41,-,-,-,-,190
소계,3665,-,2,-,-,712,47,45,1608,331,240,34,5,1,118,3,-,-,-,519
살인,20,-,-,-,-,4,-,-,6,5,2,1,-,-,-,-,-,-,-,2
강도,366,-,1,-,-,69,24,13,107,99,33,3,2,-,5,-,-,-,-,10
방화,99,-,-,-,-,43,1,8,32,3,-,-,-,-,-,-,-,-,-,12
성폭력,3180,-,1,-,-,596,22,24,1463,224,205,30,3,1,113,3,-,-,-,495
소계,18622,5,19,2,15,3400,346,409,5664,2250,1308,185,15,4,372,13,-,-,-,4615
폭행,10139,2,10,1,12,1466,169,213,2661,975,734,90,10,1,183,5,-,-,-,3607
상해,4995,3,5,-,2,1119,70,114,1915,690,415,74,4,2,164,4,-,-,-,414
협박,854,-,-,-,-,154,12,10,231,100,49,7,-,-,4,2,-,-,-,285
공갈,1750,-,3,1,1,413,70,50,594,352,65,10,1,-,15,1,-,-,-,174
약취와 유인,20,-,-,-,-,4,2,-,2,7,1,-,-,-,-,-,-,-,-,4
체포와 감금,253,-,-,-,-,41,5,9,58,51,22,2,-,-,3,1,-,-,-,61
폭력행위등(손괴강요주거침입등),542,-,-,-,-,187,15,12,173,72,16,2,-,1,3,-,-,-,-,61
폭력행위 등(단체 등의 구성ㆍ활동),69,-,1,-,-,16,3,1,30,3,6,-,-,-,-,-,-,-,-,9
소계,1350,-,-,2,2,67,21,36,658,220,116,17,-,-,113,1,-,-,-,97
통화,21,-,-,-,-,-,-,1,9,3,2,-,-,-,-,-,-,-,-,6
유가증권ㆍ인지ㆍ우표,2,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
문서,1310,-,-,2,2,67,19,35,643,213,112,17,-,-,112,1,-,-,-,87
인장,17,-,-,-,-,-,1,-,6,4,1,-,-,-,1,-,-,-,-,4
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
직권남용,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
증뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,192,-,-,-,-,25,-,2,82,12,24,3,-,-,26,-,-,-,-,18
도박과 복표,74,-,-,-,-,4,-,1,29,3,15,2,-,-,15,-,-,-,-,5
신앙,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타 음란행위,118,-,-,-,-,21,-,1,53,9,9,1,-,-,11,-,-,-,-,13
소계,131,-,1,-,-,30,1,3,44,7,4,1,-,-,6,-,-,-,-,34
과실치사상,58,-,-,-,-,8,-,1,17,4,2,1,-,-,3,-,-,-,-,22
업무상 과실치사상,4,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,-,-,-,-
실화,69,-,1,-,-,22,1,2,25,3,1,-,-,-,2,-,-,-,-,12
소계,2728,-,2,-,2,438,28,49,703,233,161,26,-,2,91,2,-,-,-,991
명예,1393,-,1,-,2,184,8,21,311,58,61,8,-,1,45,1,-,-,-,692
권리행사 방해,147,-,-,-,-,36,1,1,53,15,5,4,-,-,1,-,-,-,-,31
신용업무 경매,214,-,-,-,-,17,1,3,50,34,24,11,-,-,13,-,-,-,-,61
주거 침입,682,-,1,-,-,190,14,18,204,64,34,1,-,1,17,1,-,-,-,137
비밀침해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
유기,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
교통방해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
공무방해,191,-,-,-,-,7,4,4,64,53,31,2,-,-,14,-,-,-,-,12
도주와 범인 은닉,27,-,-,-,-,-,-,2,12,6,3,-,-,-,-,-,-,-,-,4
위증과 증거인멸,12,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,10
무고,59,-,-,-,-,4,-,-,8,3,2,-,-,-,-,-,-,-,-,42
공안을 해하는 죄,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
내란의 죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
음용수에 관한 죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
일수와 수리에 관한 죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,11750,2,5,3,5,1210,152,365,4918,1828,896,124,5,2,366,10,-,-,-,1859
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,4,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,1
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,83,-,-,-,-,1,-,-,17,9,14,1,-,-,13,-,-,-,-,28
소계,85,-,1,-,-,10,2,3,24,17,7,2,-,-,2,1,-,-,-,16
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,2270,-,-,1,-,110,16,59,751,280,178,13,-,-,55,3,-,-,-,804
소계,17,-,-,-,-,-,-,-,6,1,6,-,1,-,3,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,23,-,-,-,-,-,-,3,6,5,5,-,-,-,1,-,-,-,-,3
소계,4663,2,2,1,2,664,70,145,2265,786,308,45,-,-,89,3,-,-,-,281
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,85,-,-,-,-,-,4,12,11,14,23,-,-,-,5,-,-,-,-,16
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
소계,3,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,7,-,-,-,-,1,-,-,3,1,-,-,-,-,-,-,-,-,-,2
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,106,-,-,-,2,12,3,10,17,14,17,5,-,2,4,-,-,-,-,20
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,9,-,-,-,-,-,-,-,1,2,3,-,-,-,-,-,-,-,-,3
소계,174,-,-,1,-,34,5,9,41,45,14,1,-,-,-,1,-,-,-,23
소계,135,-,-,-,-,36,1,1,63,3,10,-,-,-,3,-,-,-,-,18
소계,101,-,-,-,-,20,-,1,40,9,11,3,-,-,4,-,-,-,-,13
소계,5,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,3
소계,102,-,-,-,-,27,5,5,28,18,7,1,-,-,-,-,-,-,-,11
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,12,-,-,-,-,3,-,2,-,2,4,-,-,-,1,-,-,-,-,-
소계,371,-,1,-,-,1,4,18,136,104,43,-,1,-,5,1,-,-,-,57
소계,277,-,-,-,-,5,2,16,143,58,7,5,-,-,8,-,-,-,-,33
소계,43,-,-,-,-,1,-,-,9,-,2,-,-,-,2,-,-,-,-,29
소계,311,-,-,-,-,3,3,9,129,35,48,9,1,-,28,-,-,-,-,46
소계,634,-,-,-,-,96,6,4,206,35,32,8,-,-,25,-,-,-,-,222
소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
소계,1021,-,-,-,-,74,17,32,540,193,61,9,1,-,51,-,-,-,-,43
소계,673,-,-,-,-,31,8,14,317,106,41,13,1,-,47,-,-,-,-,95
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,8,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,4
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,7,-,-,-,-,-,-,-,1,3,2,-,-,-,-,-,-,-,-,1
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
소계,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
소계,518,-,1,-,1,80,6,21,159,87,49,9,-,-,20,1,-,-,-,84
