No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2018년,계,계[입력치],계[입력치],"1,749,459","139,967","52,381","3,935","1,890",367,"1,274","80,120","17,074",361,148,8,14,191,"20,340","9,418","6,848","262,269","6,004","198,468","395,225","693,485"
2,2018년,형법범,형법범계[입력치],형법범계[입력치],"963,276","92,752","32,861","3,727","1,850",297,530,"53,487","14,154",300,117,7,12,164,"19,057","5,940","3,660","224,084","4,983","23,778","181,080","393,488"
3,2018년,형법범,재산범죄,재산범죄의 계[입력치],"427,056","81,539","30,679","3,214","1,650",243,435,"45,318","6,059",28,8,1,0,19,"1,797","2,047","2,105","58,050",968,"11,702","85,777","176,984"
4,2018년,형법범,재산범죄,배임,"10,158",833,176,5,7,2,8,635,45,0,0,0,0,0,0,3,14,62,1,214,"1,609","7,377"
5,2018년,형법범,재산범죄,사기,"242,658","49,390","20,571","1,899","1,407",140,341,"25,032","3,723",9,6,1,0,2,28,291,608,"5,987",136,"6,019","50,724","125,743"
6,2018년,형법범,재산범죄,손괴,"36,327",286,11,2,2,1,2,268,28,17,2,0,0,15,"1,732",57,10,"17,534",625,934,"7,823","7,281"
7,2018년,형법범,재산범죄,장물,"1,811",577,168,10,2,1,1,395,48,0,0,0,0,0,0,6,14,171,1,285,348,361
8,2018년,형법범,재산범죄,절도,"98,305","24,923","8,280","1,190",156,85,36,"15,176","1,730",1,0,0,0,1,29,"1,440","1,254","29,734",185,"3,127","17,864","18,018"
9,2018년,형법범,재산범죄,횡령,"37,797","5,530","1,473",108,76,14,47,"3,812",485,1,0,0,0,1,8,250,205,"4,562",20,"1,123","7,409","18,204"
10,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"36,641","1,388",263,74,13,1,13,"1,024",86,16,4,1,0,11,224,"2,711",995,"12,280",254,778,"9,260","8,649"
11,2018년,형법범,강력범죄(흉악),강도,"1,320",470,217,64,12,0,0,177,22,3,1,0,0,2,2,5,13,241,11,4,207,342
12,2018년,형법범,강력범죄(흉악),방화,"1,368",24,2,0,0,0,0,22,0,4,0,0,0,4,69,23,2,631,109,18,295,193
13,2018년,형법범,강력범죄(흉악),살인,"1,095",16,2,1,0,0,2,11,0,4,0,1,0,3,69,0,2,374,50,1,212,367
14,2018년,형법범,강력범죄(흉악),성폭력,"32,858",878,42,9,1,1,11,814,64,5,3,0,0,2,84,"2,683",978,"11,034",84,755,"8,546","7,747"
15,2018년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"317,876","2,192",441,203,12,12,22,"1,502",201,184,77,3,3,101,"16,657",203,141,"122,036","2,137","2,426","45,874","125,825"
16,2018년,형법범,강력범죄(폭력),공갈,"5,397","1,180",305,160,8,8,1,698,98,3,2,0,0,1,5,13,37,569,21,37,"1,065","2,369"
17,2018년,형법범,강력범죄(폭력),상해,"65,210",169,12,7,2,3,10,135,33,36,18,1,0,17,"3,103",25,8,"38,752",641,602,"13,423","8,418"
18,2018년,형법범,강력범죄(폭력),약취와 유인,268,34,6,4,1,0,0,23,2,0,0,0,0,0,12,3,6,44,0,1,74,92
19,2018년,형법범,강력범죄(폭력),체포와 감금,"2,495",162,30,14,0,0,1,117,4,4,1,0,0,3,87,3,5,625,18,30,475,"1,082"
20,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",970,21,1,0,0,0,0,20,0,1,0,1,0,0,0,14,52,132,3,7,478,262
21,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)","2,826",193,46,0,0,0,0,147,12,0,0,0,0,0,31,45,0,670,49,89,634,"1,103"
22,2018년,형법범,강력범죄(폭력),폭행,"221,369",306,31,13,0,1,9,252,48,51,21,1,2,27,"11,724",73,18,"74,270","1,186","1,271","26,479","105,943"
23,2018년,형법범,강력범죄(폭력),협박,"19,341",127,10,5,1,0,1,110,4,89,35,0,1,53,"1,695",27,15,"6,974",219,389,"3,246","6,556"
