범죄별,범행연령별,항목,단위,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년
합계,계,범죄자 연령,명,1932729,1989862,2472897,2519237,1954331,1907641,2117737,2147250,1879548,1948966,2020196,1861796,1749459,1754808
합계,소년,범죄자 연령,명,69211,88104,134992,113022,89776,83068,107490,91633,77594,71035,76000,72759,66142,66247
합계,14세미만,범죄자 연령,명,400,578,3800,1989,445,360,856,471,37,64,84,93,,
합계,14세,범죄자 연령,명,8484,10884,16638,15431,8870,5189,12978,11338,9712,7,7530,7703,8321,9053
합계,15세,범죄자 연령,명,13400,18081,26385,24657,19280,17084,21009,16645,14041,14387,13789,12376,11595,11730
합계,16세,범죄자 연령,명,13367,17306,26932,26153,21611,21815,26080,20463,16940,17624,17589,16391,13306,13548
합계,17세,범죄자 연령,명,11087,14539,21784,23307,19637,19936,24140,21208,17517,18231,17607,17358,15513,14338
합계,18세,범죄자 연령,명,10637,13603,20808,21485,19933,18684,22427,21508,19347,20722,19401,18838,17407,17578
합계,19세,범죄자 연령,명,11836,13113,18645,,,,,,,,,,,
합계,성인,범죄자 연령,명,1585848,1635814,2044942,2093370,1743635,1712041,1849392,1879999,1773556,1817924,1897655,1745478,1637944,1657252
합계,19세,범죄자 연령,명,,,,19429,18570,19373,21074,21317,20742,24079,22963,20882,19414,20511
합계,20세,범죄자 연령,명,10913,10963,14434,15086,12743,15128,17475,17670,15900,19307,20759,19396,18017,18351
합계,21세,범죄자 연령,명,11395,12450,16162,17087,13477,12980,17731,20592,18544,19177,20405,20275,18463,19579
합계,22세,범죄자 연령,명,18299,18788,24879,24257,19134,17292,21673,24278,22915,25344,25995,24202,22938,22538
합계,23세,범죄자 연령,명,25452,26046,31230,31302,23204,20893,23913,26254,23685,28108,30181,27377,25347,25012
합계,24세,범죄자 연령,명,30722,32437,38536,35967,27091,23455,25643,27658,24727,27533,32003,30427,26865,26398
합계,25세,범죄자 연령,명,33926,37325,46327,42684,30986,26855,28392,28650,25415,28261,31053,31726,29421,28007
합계,26~30세,범죄자 연령,명,186011,199680,262154,268988,206886,183240,188489,186246,154669,153167,158537,144360,133269,137049
합계,31~35세,범죄자 연령,명,211144,208023,253501,248681,191501,187322,199346,208157,190948,190059,194990,164623,140005,131076
합계,36~40세,범죄자 연령,명,249499,253576,308854,303651,236069,215212,218066,214636,190494,186159,198261,180967,168897,169713
합계,41~45세,범죄자 연령,명,,,,,,,,,247919,238266,236612,203467,180180,172082
합계,46~50세,범죄자 연령,명,,,,,,,,,253608,257734,262341,237828,220190,216817
합계,41~50세,범죄자 연령,명,513821,524810,640388,636552,538511,521221,547475,540960,,,,,,
합계,51~55세,범죄자 연령,명,,,,,,,,,253651,254352,256499,227841,212241,210138
합계,56~60세,범죄자 연령,명,,,,,,,,,164939,181159,197955,196968,195107,203731
합계,51~60세,범죄자 연령,명,212343,227688,297403,323178,310293,347294,399936,413624,,,,,,
합계,61~70세,범죄자 연령,명,60640,61565,81507,91126,88543,97494,110903,117354,127282,140884,159803,165006,173427,193466
합계,71세이상,범죄자 연령,명,21683,22463,29567,35382,26627,24282,29276,32603,38118,44335,49298,50133,54163,62784
합계,미상,범죄자 연령,명,277670,265944,292963,312845,120920,112532,160855,175618,28398,60007,46541,43559,45373,31309
형법범,계,범죄자 연령,명,855066,833807,1023947,1118253,944853,954629,1104482,1109226,949859,993932,1007048,962775,963276,990685
형법범,소년,범죄자 연령,명,50846,60426,79766,81378,70045,66240,87779,74509,63145,56962,61162,58255,54205,54497
형법범,14세미만,범죄자 연령,명,190,195,346,244,147,98,582,241,27,45,65,38,,
형법범,14세,범죄자 연령,명,7723,9502,11959,12602,7833,4653,11663,10332,8888,7,6952,7053,7713,8322
형법범,15세,범죄자 연령,명,11218,14388,18072,19182,16377,14764,18037,14403,12268,12625,12003,10642,10233,10399
형법범,16세,범죄자 연령,명,9866,12030,16483,18833,16833,17621,21162,16341,13552,14402,13962,12842,10790,11105
형법범,17세,범죄자 연령,명,7746,9203,12413,16180,14375,15006,19007,16673,13621,14258,13581,13270,12070,11090
형법범,18세,범죄자 연령,명,6972,7923,11120,14337,14480,14098,17328,16519,14789,15625,14599,14410,13399,13581
형법범,19세,범죄자 연령,명,7131,7185,9373,,,,,,,,,,,
형법범,성인,범죄자 연령,명,736149,719194,876977,963064,833966,834787,941227,945178,870746,904872,920760,878991,878917,914549
형법범,19세,범죄자 연령,명,,,,11103,12448,14008,15474,15529,15201,17296,16435,15271,14557,15228
형법범,20세,범죄자 연령,명,6539,5990,7079,7971,7845,10153,12124,12571,10972,13505,14272,13575,13222,13523
형법범,21세,범죄자 연령,명,6577,6814,7788,8854,7853,8268,11416,13412,11959,12480,13329,13710,12948,13923
형법범,22세,범죄자 연령,명,9669,9296,11414,11816,10138,10042,12862,14665,13789,15598,15640,15283,15047,14995
형법범,23세,범죄자 연령,명,12371,11748,13144,14301,11689,11192,13280,14325,13315,16075,17244,15930,15544,15538
형법범,24세,범죄자 연령,명,13814,13683,15377,15672,12661,11743,13172,14116,12674,14727,16763,16578,15488,15568
형법범,25세,범죄자 연령,명,14150,14963,17619,17624,13675,12960,13698,13416,12079,13972,14966,16314,16019,15824
형법범,26~30세,범죄자 연령,명,71195,72255,91195,102850,84644,79232,84756,83241,67037,68748,69480,67185,66270,70761
형법범,31~35세,범죄자 연령,명,91575,82577,95001,103201,83494,84605,95701,99401,87490,88629,88266,77808,71045,68368
형법범,36~40세,범죄자 연령,명,115811,110042,128559,137265,109160,100227,107753,104645,89984,89506,92427,87901,87955,91713
형법범,41~45세,범죄자 연령,명,,,,,,,,,120142,116645,111330,99388,94941,93812
형법범,46~50세,범죄자 연령,명,,,,,,,,,124880,127774,125572,118320,116801,118839
형법범,41~50세,범죄자 연령,명,250566,243279,294146,309514,265154,254377,279121,271804,,,,,,
형법범,51~55세,범죄자 연령,명,,,,,,,,,126790,128142,125157,114013,113489,115104
형법범,56~60세,범죄자 연령,명,,,,,,,,,82569,90233,96997,98806,104058,111221
형법범,51~60세,범죄자 연령,명,106000,110803,145503,165041,158851,176366,209095,211948,,,,,,
형법범,61~70세,범죄자 연령,명,31843,31360,41293,47154,45425,48951,56933,58752,61977,68604,76949,81593,90717,103992
형법범,71세이상,범죄자 연령,명,6039,6384,8859,10698,10929,12663,15842,17353,19888,22938,25933,27316,30816,36140
형법범,미상,범죄자 연령,명,68071,54187,67204,73811,40842,53602,75476,89539,15968,32098,25126,25529,30154,21639
재산범죄,계,범죄자 연령,명,399280,367758,419242,480845,415258,427199,521037,556966,411083,431741,429896,414778,427056,452175
재산범죄,소년,범죄자 연령,명,29506,33659,39688,45774,40478,37978,47605,45735,36271,32068,33088,29056,26497,27809
재산범죄,14세미만,범죄자 연령,명,115,116,144,114,75,42,324,98,6,21,21,17,,
재산범죄,14세,범죄자 연령,명,5024,5894,6607,7553,4942,2888,7057,7080,5848,1,4351,4359,4485,5077
