구분,합계,법원송치,검사송치,경찰서장송치,타소년부에서 이송등,소년법 제4조 제3항에 의한 통고
2010,"44,200","2,212","31,715","9,213","1,026",34
2011,"46,497","2,417","32,803","9,401","1,818",8
2012,"53,536","2,848","36,133","12,799","1,588",168
2013,"43,035","2,695","29,284","9,500","1,368",188
2014,"34,165","1,610","24,110","7,104","1,146",195
2015,"34,075","1,494","24,527","6,756",989,309
2016,"33,738","1,357","24,319","6,788",915,359
2017,"34,110","1,124","24,014","7,743",876,353
2018,"33,301",954,"22,578","8,335","1,027",407
2019,"36,576",876,"23,511","10,460","1,285",444
