"了辆喊(1)",了辆喊(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"了辆喊(1)",了辆喊(2),拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,拌,固己斥,固己斥,固己斥,固己斥,固己斥,固己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥,己斥
"了辆喊(1)",了辆喊(2),家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技固父,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑,家拌,家拌,14技,15技,16技,17技,18技,家拌,19技,20技,21~25技,26~30技,31~35技,36~40技,41~45技,46~50技,51~55技,56~60技,61~65技,66~70技,71技捞惑
"拌",家拌,1815233,86616,316,5454,17834,22791,20774,19447,1728590,20441,16214,107114,190553,191804,215190,252987,260745,223253,125455,65158,34635,25041,1723815,104532,654,12751,20645,25490,23454,21538,1618724,19924,15877,107903,169358,177256,190062,232617,236111,218323,126281,64138,34394,26480,1741302,88549,281,11158,16311,19926,20400,20473,1651378,19835,16056,116405,167984,186107,188086,232003,233067,222444,134885,68546,36222,29738,1712435,77280,54,9673,14010,16885,17447,19211,1633101,20534,15710,113422,149979,180894,175951,224227,226968,226513,148001,75269,40378,35255,1771390,79342,80,8521,14358,17584,18171,20628,1689960,23945,19161,126957,149606,181726,173733,218020,233219,229356,163633,83771,45367,41466,1847605,75757,78,7524,13752,17551,17552,19300,1768887,22849,20590,138071,154947,186937,186020,217607,237797,231562,179230,95834,50996,46447,1685461,72425,88,7691,12364,16308,17255,18719,1611388,20720,19202,132024,140560,156474,167953,185225,212580,203101,176638,99201,50962,46748,1581922,65784,8314,11563,13273,15348,17286,1513619,19261,17814,121050,129466,133036,157168,164345,197856,189415,175113,105100,53132,50863,1585638,65907,9028,11681,13503,14249,17446,1516477,20259,18026,118801,131970,123442,156540,155689,192774,184847,180686,116263,58659,58521
"碍仿裹了",家拌,25346,3209,5,136,502,852,871,843,22137,776,497,2292,3027,2741,2713,2892,2723,2080,1075,659,367,295,23789,3231,27,327,487,743,866,781,20553,662,484,2245,2829,2545,2403,2680,2283,2024,1121,555,364,358,25351,3052,19,334,497,653,799,750,22277,640,442,2498,2734,2722,2472,2843,2542,2267,1420,764,466,467,25065,2610,-,330,466,541,601,672,22419,631,464,2627,2471,2601,2336,2883,2609,2362,1566,798,520,551,25821,2377,3,265,462,501,554,592,23421,582,428,2805,2453,2790,2396,2778,2760,2508,1751,962,554,654,27071,2410,3,295,451,577,545,539,24628,581,470,2932,2634,2731,2530,2720,2910,2624,1986,1091,619,800,28927,2311,1,258,401,521,531,599,26606,600,494,3424,2955,2807,2749,2749,2970,2684,2277,1294,772,831,28302,2267,303,403,452,502,607,26005,588,476,3444,2885,2483,2623,2566,2948,2655,2366,1353,737,881,28943,2358,305,431,463,525,634,26550,693,509,3339,3150,2529,2720,2376,2842,2651,2381,1452,876,1032
"碍仿裹了",混牢扁荐,449,7,-,-,-,2,2,3,442,2,3,21,38,53,60,71,62,56,27,19,12,18,446,12,-,1,2,2,3,4,434,4,1,36,33,38,69,58,51,67,35,14,16,12,377,6,-,-,-,-,4,2,369,3,3,22,38,29,36,54,45,49,34,18,19,19,447,18,-,1,6,5,2,4,429,7,5,31,19,33,54,70,57,45,36,31,19,22,389,7,-,-,1,1,4,1,382,3,2,23,29,34,41,62,44,48,39,19,9,29,379,4,-,1,1,-,-,2,375,2,5,25,24,39,36,44,64,48,41,12,15,20,344,10,-,-,-,-,8,2,334,7,3,21,20,33,37,38,39,39,43,16,22,16,350,5,-,-,3,-,2,345,3,5,21,27,34,39,47,39,37,33,21,15,24,345,9,-,-,3,1,5,335,6,-,22,26,32,36,30,34,37,44,29,17,22
"碍仿裹了",混牢固荐殿,836,5,-,-,1,-,1,3,831,9,6,46,64,80,104,134,152,115,64,32,12,13,610,11,-,-,2,2,4,3,598,3,5,19,65,50,66,102,114,74,48,20,13,19,620,15,-,2,2,3,2,6,605,6,5,29,54,52,50,90,98,92,65,27,13,24,575,15,-,1,5,2,4,3,559,2,4,21,29,48,63,96,94,89,59,24,19,11,586,11,-,2,1,1,4,3,574,2,1,37,38,43,60,72,96,98,67,24,13,23,616,15,-,1,1,1,6,6,601,3,5,29,41,58,58,74,103,82,67,35,27,19,561,7,-,1,1,-,3,2,554,5,5,41,49,42,43,61,76,84,69,38,17,24,516,4,-,-,1,1,2,512,3,9,37,31,32,45,44,81,72,67,49,19,23,525,10,2,1,1,3,3,515,6,2,24,37,41,46,50,73,72,73,45,28,18
"碍仿裹了",碍档,4890,1144,-,36,185,284,328,311,3746,239,134,513,617,546,450,427,369,236,118,66,20,11,3322,848,1,61,113,220,261,192,2472,152,89,370,476,391,276,284,176,142,60,25,20,11,2593,607,1,61,97,139,170,139,1983,101,69,308,296,319,252,240,162,111,73,32,9,11,2078,405,-,37,87,94,98,89,1663,70,59,262,246,255,203,196,130,110,74,33,14,11,1999,441,-,15,70,122,133,101,1554,98,61,203,212,263,172,168,139,126,65,21,15,11,1716,316,-,16,42,99,94,65,1384,80,57,194,166,209,171,138,141,94,76,29,17,12,1456,242,-,9,33,69,69,62,1213,51,39,168,154,174,159,116,134,101,62,31,13,11,1165,214,27,34,49,56,48,944,53,52,150,97,97,109,99,103,79,59,26,12,8,1336,361,38,69,84,77,93,974,82,51,148,128,111,101,75,95,72,60,32,8,11
"碍仿裹了",碍埃·碍力眠青,17652,1883,5,80,280,507,502,509,15769,511,341,1647,2240,1937,1947,2026,1877,1449,762,494,301,237,18012,2164,17,215,326,485,565,556,15846,480,380,1773,2179,1991,1848,2027,1710,1527,876,462,297,296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"碍仿裹了",碍埃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5856,866,1,51,159,178,248,229,4983,204,152,740,805,697,552,516,435,405,216,117,80,64,5517,824,-,80,135,156,228,225,4677,214,157,823,681,653,462,471,430,346,224,89,64,63,5621,738,3,62,138,153,199,183,4872,183,141,859,678,742,488,507,414,359,254,129,53,65,5829,742,1,64,140,192,174,171,5082,180,141,922,757,702,526,491,445,369,256,133,68,92,5943,745,-,57,110,158,195,225,5194,174,145,1039,779,675,570,463,439,359,269,134,83,65,5947,752,58,129,157,187,221,5189,186,134,990,782,579,568,446,470,351,324,166,95,98,6138,638,51,115,122,167,183,5489,226,167,1022,888,617,619,438,416,361,337,200,100,98
