범죄별(1),범죄별(2),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
합계,소계,19981,25525,35397,36532,31191,30261,44319,41032,32265,30248,30368,28583,26905,26459
형법범,소계,14508,17705,24416,27856,24672,24275,36404,34028,26748,24867,24775,23127,22364,21911
형법범,재산범죄,8581,10016,12920,16199,15310,15013,21753,22391,16824,15555,15317,13338,13104,13236
형법범,강력범죄(흉악),704,692,1172,1385,1073,1237,1142,1047,1008,939,918,864,874,874
형법범,강력범죄(폭력),4881,6580,9593,9446,7454,7194,12002,9115,7547,6962,7054,7680,7175,6647
형법범,위조범죄,141,184,370,498,512,446,861,807,702,713,744,580,545,459
형법범,공무원범죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,풍속범죄,36,9,24,37,21,21,28,10,20,33,58,46,44,44
형법범,과실범죄,13,9,18,21,23,16,24,20,24,23,23,24,19,29
형법범,기타형법범죄,152,215,319,270,279,348,594,638,623,642,661,595,603,622
특별법범,소계,5473,7820,10981,8676,6519,5986,7915,7004,5517,5381,5593,5456,4541,4548
특별법범,개발제한구역의지정및관리에관한특별조치법,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,개인정보보호법,-,-,-,-,-,-,-,-,3,1,-,3,-,-
특별법범,개항질서법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,건설기계관리법,-,-,1,-,-,-,-,-,-,-,-,-,-,-
특별법범,건축법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,게임산업진흥에관한법률,-,-,-,-,-,-,-,-,21,26,28,14,14,10
특별법범,경범죄처벌법,-,-,-,-,-,-,-,-,27,34,39,40,32,38
특별법범,공유재산및물품관리법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공인중개사법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,공중위생관리법,-,-,-,-,-,-,-,-,-,1,-,2,1,-
특별법범,공직선거및선거부정방지법,-,-,-,-,-,-,-,-,3,1,1,-,-,-
특별법범,공직선거법,1,1,1,-,-,-,9,-,-,-,-,3,5,-
특별법범,관세법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,교통사고처리특례법,1034,1128,1358,1142,1080,1087,1406,1359,1171,1010,966,908,846,747
특별법범,국가보안법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,국민체육진흥법,-,-,-,-,-,-,-,-,5,7,12,1,4,3
특별법범,국토의계획및이용에관한법률,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,근로기준법,4,4,2,4,3,4,6,3,-,-,1,-,-,-
특별법범,근로자퇴직급여보장법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,노동조합및노동관계조정법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농수산물의원산지표시에관한법률,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,농지법,-,-,-,-,-,-,1,-,-,-,-,-,-,-
특별법범,대기환경보전법,1,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,대부업등의등록및금융이용자보호에관한법률,-,-,-,-,-,-,-,-,-,1,1,5,9,13
특별법범,도로교통법,354,496,622,529,451,576,999,635,2520,2404,2719,2728,2178,2231
특별법범,도로교통법(무면허운전),3053,4801,6155,4462,3191,2324,2456,1994,-,-,-,-,-,-
특별법범,도로교통법(음주운전),396,470,675,351,287,189,293,361,-,-,-,-,-,-
특별법범,도로법,1,1,4,9,5,-,1,-,1,-,-,2,-,-
특별법범,도시계획법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,마약류관리에관한법률,6,3,5,1,2,1,2,7,10,14,16,14,25,28
특별법범,물환경보전법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,민사소송법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,변호사법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,병역법,29,39,25,1,1,-,-,-,-,-,2,-,-,-
특별법범,부정경쟁방지및영업비밀보호에관한법률,-,-,-,2,1,-,-,-,-,-,1,-,-,-
특별법범,부정수표단속법,3,2,2,13,7,2,-,1,5,6,4,-,7,1
특별법범,사행행위등규제및처벌특례법,-,-,-,-,-,-,-,-,2,1,1,-,-,-
특별법범,산림법,-,1,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,산림자원의조성및관리에관한법률,-,-,-,1,-,-,-,-,-,-,-,-,-,-
특별법범,산업안전보건법,-,-,1,1,1,-,1,-,-,-,-,-,-,-
특별법범,산지관리법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,상표법,2,6,8,3,-,-,1,1,-,3,1,2,1,1
특별법범,선박안전법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,선박직원법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,성매매법,47,58,230,208,86,49,38,28,-,-,-,-,-,-
특별법범,성매매알선등행위의처벌에관한법률,-,-,-,-,-,-,-,-,44,55,106,90,53,20
특별법범,소방기본법,-,-,-,-,-,-,-,-,-,-,-,-,-,-
특별법범,수산업법,-,-,1,1,-,-,-,-,-,-,-,-,-,-
