자료시점,분류,분류,분류,계,동종재범(소계),1개월이내(동종재범),3개월이내(동종재범),6개월이내(동종재범),1년이내(동종재범),2년이내(동종재범),3년이내(동종재범),3년초과(동종재범),이종재범(소계),1개월이내(이종재범),3개월이내(이종재범),6개월이내(이종재범),1년이내(이종재범),2년이내(이종재범),3년이내(이종재범),3년초과(이종재범)
2014년,계,계[입력치],계[입력치],"32,265","15,014","2,181","2,615","2,281","4,669","1,926",994,348,"17,251","1,940","2,545","2,526","5,165","2,719","1,520",836
2014년,형법범,형법범계[입력치],형법범계[입력치],"26,748","12,982","2,014","2,350","1,997","4,012","1,551",791,267,"13,766","1,733","2,216","2,138","4,024","2,024","1,071",560
2014년,형법범,재산범죄,재산범죄의 계[입력치],"16,824","8,823","1,679","1,734","1,324","2,720",791,438,137,"8,001","1,279","1,497","1,316","2,191",944,511,263
2014년,형법범,재산범죄,배임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,재산범죄,사기,"3,581","1,885",445,366,244,583,129,87,31,"1,696",238,245,221,511,243,150,88
2014년,형법범,재산범죄,손괴,344,123,9,14,27,41,20,8,4,221,20,29,32,64,36,25,15
2014년,형법범,재산범죄,장물,407,159,23,25,27,47,19,13,5,248,27,28,33,75,41,34,10
2014년,형법범,재산범죄,절도,"11,998","6,470","1,179","1,308",991,"1,996",589,318,89,"5,528",971,"1,160",993,"1,427",573,271,133
2014년,형법범,재산범죄,횡령,494,186,23,21,35,53,34,12,8,308,23,35,37,114,51,31,17
2014년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"1,008",159,22,35,28,37,22,10,5,849,66,108,127,287,129,77,55
2014년,형법범,강력범죄(흉악),강도,277,105,18,27,20,23,11,4,2,172,21,25,40,43,17,18,8
2014년,형법범,강력범죄(흉악),방화,36,10,3,1,2,0,1,2,1,26,2,3,3,15,2,0,1
2014년,형법범,강력범죄(흉악),살인,7,1,0,0,0,0,1,0,0,6,0,2,0,4,0,0,0
2014년,형법범,강력범죄(흉악),성폭력,688,43,1,7,6,14,9,4,2,645,43,78,84,225,110,59,46
2014년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"7,547","3,460",273,519,555,"1,080",645,281,107,"4,087",334,524,588,"1,299",768,383,191
2014년,형법범,강력범죄(폭력),공갈,"1,072",509,77,101,105,145,50,18,13,563,68,113,89,180,66,29,18
2014년,형법범,강력범죄(폭력),상해,"2,948","1,350",92,175,219,425,285,119,35,"1,598",117,186,234,534,316,135,76
2014년,형법범,강력범죄(폭력),약취와 유인,5,0,0,0,0,0,0,0,0,5,0,1,0,0,3,0,1
2014년,형법범,강력범죄(폭력),체포와 감금,56,37,1,8,8,10,8,1,1,19,3,4,7,1,2,2,0
2014년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",45,16,3,4,3,3,1,2,0,29,7,5,4,5,4,4,0
2014년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",207,96,17,22,21,19,9,5,3,111,10,15,14,42,13,9,8
2014년,형법범,강력범죄(폭력),폭행,"3,101","1,403",81,203,192,455,286,134,52,"1,698",125,194,228,519,352,194,86
2014년,형법범,강력범죄(폭력),협박,113,49,2,6,7,23,6,2,3,64,4,6,12,18,12,10,2
2014년,형법범,위조범죄,위조범죄의 계[입력치],702,296,23,31,49,99,46,39,9,406,22,48,43,126,88,54,25
2014년,형법범,위조범죄,문서,696,295,23,31,49,98,46,39,9,401,22,48,40,126,87,54,24
2014년,형법범,위조범죄,유가증권인지우표,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2014년,형법범,위조범죄,인장,3,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0
2014년,형법범,위조범죄,통화,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
2014년,형법범,공무원범죄,공무원범죄의 계[입력치],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,공무원범죄,수뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,공무원범죄,증뢰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,공무원범죄,직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,공무원범죄,직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,풍속범죄,풍속범죄의 계[입력치],20,6,0,1,1,3,0,1,0,14,0,1,4,3,4,1,1
2014년,형법범,풍속범죄,기타음란행위,8,4,0,0,1,3,0,0,0,4,0,0,1,2,1,0,0
2014년,형법범,풍속범죄,도박과 복표,12,2,0,1,0,0,0,1,0,10,0,1,3,1,3,1,1
2014년,형법범,풍속범죄,신앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,과실범죄,과실범죄의 계[입력치],24,10,1,0,1,3,4,1,0,14,2,2,2,3,3,1,1
2014년,형법범,과실범죄,과실치사상,8,3,1,0,0,0,2,0,0,5,0,1,0,0,2,1,1
2014년,형법범,과실범죄,실화,14,6,0,0,1,3,1,1,0,8,2,1,1,3,1,0,0
2014년,형법범,과실범죄,업무상과실치사상,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2014년,형법범,기타형법범죄,기타형법범죄의 계[입력치],623,228,16,30,39,70,43,21,9,395,30,36,58,115,88,44,24
2014년,형법범,기타형법범죄,공무방해,217,85,7,10,15,20,22,10,1,132,5,10,23,36,35,17,6
2014년,형법범,기타형법범죄,공안을해하는죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,기타형법범죄,교통방해,5,1,0,0,0,1,0,0,0,4,1,0,0,3,0,0,0
2014년,형법범,기타형법범죄,권리행사방해,14,5,0,1,1,1,1,1,0,9,2,2,2,1,0,2,0
2014년,형법범,기타형법범죄,내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,기타형법범죄,도주와범인은닉,11,1,0,1,0,0,0,0,0,10,1,1,0,3,4,1,0
2014년,형법범,기타형법범죄,명예,186,72,3,9,9,30,13,6,2,114,7,7,14,36,23,14,13
2014년,형법범,기타형법범죄,무고,7,0,0,0,0,0,0,0,0,7,1,1,2,1,1,1,0
2014년,형법범,기타형법범죄,비밀침해,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,기타형법범죄,신용업무경매,60,25,2,3,3,9,2,1,5,35,1,5,6,6,8,6,3
2014년,형법범,기타형법범죄,위증과증거인멸,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
2014년,형법범,기타형법범죄,유기,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2014년,형법범,기타형법범죄,음용수에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,기타형법범죄,일수와수리에관한죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,형법범,기타형법범죄,주거침입,119,38,4,6,11,9,4,3,1,81,12,10,11,28,15,3,2
2014년,형법범,기타형법범죄,기타,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"5,517","2,032",167,265,284,657,375,203,81,"3,485",207,329,388,"1,141",695,449,276
2014년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,개인정보보호법,개인정보보호법,3,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2014년,특별법범,건축법,건축법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,21,4,0,0,1,1,0,0,2,17,0,0,1,4,6,2,4
2014년,특별법범,경범죄처벌법,경범죄처벌법,27,10,1,0,1,5,2,1,0,17,0,2,4,6,3,0,2
2014년,특별법범,공유재산및물품관리법,공유재산및물품관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,공인중개사법,공인중개사법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,공중위생관리법,공중위생관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,공직선거법,공직선거법,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0
2014년,특별법범,교통사고처리특례법,교통사고처리특례법,"1,171",388,19,46,50,115,94,42,22,783,35,63,72,246,177,122,68
2014년,특별법범,국민체육진흥법,국민체육진흥법,5,2,0,1,0,0,1,0,0,3,1,0,0,0,1,1,0
2014년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,근로기준법,근로기준법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,농지법,농지법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,대기환경보전법,대기환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,도로교통법,도로교통법,"2,520","1,005",96,138,157,334,159,86,35,"1,515",104,161,196,491,292,163,108
2014년,특별법범,도로법,도로법,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2014년,특별법범,마약류관리에관한법률,마약류관리에관한법률,10,4,0,2,0,1,1,0,0,6,0,1,0,2,3,0,0
2014년,특별법범,병역법,병역법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,부정수표단속법,부정수표단속법,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0
2014년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,산업안전보건법,산업안전보건법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,산지관리법,산지관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,상표법,상표법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,선박안전법,선박안전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,선박직원법,선박직원법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,,,,,,,,,,,,,,,,,
2014년,특별법범,수산업법,수산업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,수산자원관리법,수산자원관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,물환경보전법,물환경보전법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,식품위생법,식품위생법,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2
2014년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),100,35,3,5,8,7,8,4,0,65,12,8,5,20,8,8,4
2014년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),8,3,2,0,0,0,1,0,0,5,0,0,0,1,1,3,0
2014년,특별법범,아동복지법,아동복지법,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2014년,특별법범,여객자동차운수사업법,여객자동차운수사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,여신전문금융업법,여신전문금융업법,66,25,4,1,5,9,4,2,0,41,6,6,4,16,2,6,1
2014년,특별법범,외국환거래법,외국환거래법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,의료법,의료법,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
2014년,특별법범,자동차관리법,자동차관리법,89,26,1,3,0,11,5,5,1,63,1,1,9,26,14,8,4
2014년,특별법범,자동차손해배상보장법,자동차손해배상보장법,199,71,9,9,6,26,9,9,3,128,2,18,19,32,30,16,11
2014년,특별법범,저작권법,저작권법,14,9,1,4,1,2,0,1,0,5,0,0,0,2,0,1,2
2014년,특별법범,전자금융거래법,전자금융거래법,173,46,5,5,10,18,1,6,1,127,7,8,9,49,20,24,10
2014년,특별법범,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,85,29,3,6,2,7,7,3,1,56,4,10,3,16,8,6,9
2014년,특별법범,조세범처벌법,조세범처벌법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,주민등록법,주민등록법,363,154,8,14,14,45,46,23,4,209,7,11,24,82,42,36,7
2014년,특별법범,청소년보호법,청소년보호법,269,82,3,9,12,32,14,7,5,187,4,12,18,65,34,24,30
2014년,특별법범,축산물위생관리법,축산물위생관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,출입국관리법,출입국관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,통신비밀보호법,통신비밀보호법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,특가법(도주차량),특가법(도주차량),143,45,6,5,7,14,8,5,0,98,15,11,13,24,15,11,9
2014년,특별법범,폐기물관리법,폐기물관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,풍속영업의규제에관한법률,풍속영업의규제에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,학원의설립운영및과외교습에관한법률,학원의설립운영및과외교습에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,예비군법,예비군법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,화물자동차운수사업법,화물자동차운수사업법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014년,특별법범,기타특별법,기타특별법,189,72,4,14,10,22,11,9,2,117,5,13,9,45,31,12,2
2015년,계,계[입력치],계[입력치],"30,248","13,237","1,992","2,362","1,969","4,012","1,667",916,319,"17,011","1,789","2,463","2,321","5,130","2,622","1,786",900
2015년,형법범,형법범계[입력치],형법범계[입력치],"24,867","11,521","1,828","2,104","1,714","3,481","1,388",762,244,"13,346","1,562","2,070","1,900","3,972","1,919","1,300",623
2015년,형법범,재산범죄,재산범죄의 계[입력치],"15,555","8,211","1,535","1,616","1,211","2,453",835,442,119,"7,344","1,101","1,305","1,122","2,120",859,537,300
2015년,형법범,재산범죄,배임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
