"전과별(1)",전과별(2),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"전과별(1)",전과별(2),소년,소년,소년,소년,소년,소년,소년,소년,소년,소년,소년,소년,소년,소년
"전과별(1)",전과별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계
"합계",소계,69012,87798,134340,112685,89580,102162,107452,91573,77567,71034,76000,72754,66135,66243
"전과있음",소계,19975,25522,35399,36571,31521,37238,40200,38039,29652,27055,26260,24040,22308,21457
"전과있음",1범,9185,11531,15470,15095,12086,13635,14402,12385,9853,8636,8444,8039,7164,6681
"전과있음",2범,4120,5329,7549,7636,6538,7477,7669,6782,5244,4518,4493,4191,3705,3360
"전과있음",3범,2428,3090,4296,4798,4067,4755,5001,4551,3429,3110,2978,2773,2554,2517
"전과있음",4범,1474,1969,2682,2884,2749,3196,3154,3185,2329,2100,2035,1797,1803,1597
"전과있음",5범,964,1225,1778,1905,1784,2181,2470,2406,1778,1645,1551,1424,1356,1228
"전과있음",6범,662,764,1130,1287,1147,1535,1772,1790,1388,1290,1166,1143,1004,988
"전과있음",7범,392,543,753,883,865,1094,1311,1360,1030,913,976,781,825,724
"전과있음",8범,265,324,566,578,627,791,1035,1062,768,799,709,629,609,604
"전과있음",9범이상,485,747,1175,1505,1658,2574,3386,4518,3833,4044,3908,3263,3288,3758
"전과없음/미상",소계,49037,62276,98941,76114,58059,64924,67252,53534,47915,43979,49740,48714,43827,44786
