No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,계,이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),이욕(소계),사행심,보복(소계),보복(소계),보복(소계),보복(소계),보복(소계),가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,계,이욕(소계),생활비마련,유흥비마련,도박비마련,허영사치심,치부,기타,사행심,보복(소계),신고·고소,수사협조,증언,기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,2018년,계,계[입력치],계[입력치],"66,142","6,624","2,200","1,064",62,55,7,"3,236",681,6,1,1,0,4,181,"2,941",513,"13,287",246,"2,639","10,662","28,362"
2,2018년,형법범,형법범계[입력치],형법범계[입력치],"54,205","6,275","2,082","1,011",62,50,7,"3,063",607,6,1,1,0,4,175,"2,154",410,"12,409",232,590,"8,078","23,269"
3,2018년,형법범,재산범죄,재산범죄의 계[입력치],"26,497","5,645","1,969",879,58,41,0,"2,698",515,0,0,0,0,0,23,"1,191",274,"3,481",31,223,"3,207","11,907"
4,2018년,형법범,재산범죄,배임,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,2018년,형법범,재산범죄,사기,"6,968","2,476","1,154",375,55,9,0,883,164,0,0,0,0,0,4,61,24,271,9,95,"1,093","2,771"
6,2018년,형법범,재산범죄,손괴,940,8,1,1,0,0,0,6,1,0,0,0,0,0,14,26,0,280,7,19,115,470
7,2018년,형법범,재산범죄,장물,290,80,13,1,0,1,0,65,8,0,0,0,0,0,0,4,3,22,0,6,56,111
8,2018년,형법범,재산범죄,절도,"16,904","2,932",779,500,3,31,0,"1,619",310,0,0,0,0,0,5,"1,000",224,"2,687",13,75,"1,727","7,931"
9,2018년,형법범,재산범죄,횡령,"1,393",149,22,2,0,0,0,125,32,0,0,0,0,0,0,100,23,221,2,28,215,623
10,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"3,509",133,31,28,0,0,1,73,13,2,1,0,0,1,3,620,83,992,8,41,681,933
11,2018년,형법범,강력범죄(흉악),강도,215,73,31,24,0,0,0,18,1,1,0,0,0,1,1,1,4,37,1,0,25,71
12,2018년,형법범,강력범죄(흉악),방화,110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,28,1,1,11,59
13,2018년,형법범,강력범죄(흉악),살인,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,3,3
14,2018년,형법범,강력범죄(흉악),성폭력,"3,173",60,0,4,0,0,1,55,12,1,1,0,0,0,0,610,79,925,4,40,642,800
15,2018년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"19,742",422,72,97,0,6,5,242,44,3,0,1,0,2,147,90,19,"7,244",176,163,"3,348","8,086"
16,2018년,형법범,강력범죄(폭력),공갈,"1,791",316,59,77,0,6,0,174,32,0,0,0,0,0,0,7,17,232,5,6,320,856
17,2018년,형법범,강력범죄(폭력),상해,"5,483",26,0,4,0,0,3,19,2,0,0,0,0,0,16,11,0,"2,842",73,70,"1,095","1,348"
18,2018년,형법범,강력범죄(폭력),약취와 유인,13,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,2,4
19,2018년,형법범,강력범죄(폭력),체포와 감금,280,17,4,10,0,0,0,3,4,0,0,0,0,0,0,2,0,92,0,2,55,108
20,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,22
21,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",500,8,1,0,0,0,0,7,3,0,0,0,0,0,1,29,0,88,5,4,84,278
22,2018년,형법범,강력범죄(폭력),폭행,"10,918",48,6,6,0,0,2,34,3,2,0,1,0,1,118,28,1,"3,814",91,80,"1,659","5,074"
23,2018년,형법범,강력범죄(폭력),협박,706,5,1,0,0,0,0,4,0,1,0,0,0,1,12,12,1,158,2,1,118,396
24,2018년,형법범,위조범죄,위조범죄의 계[입력치],"1,511",44,9,5,0,0,0,30,20,0,0,0,0,0,0,166,31,142,2,57,414,635
25,2018년,형법범,위조범죄,문서,"1,465",36,3,4,0,0,0,29,20,0,0,0,0,0,0,164,31,141,2,56,404,611
26,2018년,형법범,위조범죄,유가증권인지우표,12,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,6
