No,자료시점,분류,분류,분류,계,계,계,계,계
No,자료시점,분류,분류,분류,계,하류,중류,상류,미상
No,자료시점,분류,분류,분류,원자료,원자료,원자료,원자료,원자료
1,2018년,계,계[입력치],계[입력치],"66,142","30,298","28,342",620,"6,882"
2,2018년,형법범,형법범계[입력치],형법범계[입력치],"54,205","24,345","23,779",537,"5,544"
3,2018년,형법범,재산범죄,재산범죄의 계[입력치],"26,497","14,015","10,723",222,"1,537"
4,2018년,형법범,재산범죄,배임,2,0,0,0,2
5,2018년,형법범,재산범죄,사기,"6,968","3,772","2,211",56,929
6,2018년,형법범,재산범죄,손괴,940,427,401,11,101
7,2018년,형법범,재산범죄,장물,290,159,118,2,11
8,2018년,형법범,재산범죄,절도,"16,904","8,972","7,362",141,429
9,2018년,형법범,재산범죄,횡령,"1,393",685,631,12,65
10,2018년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"3,509","1,246","1,857",61,345
11,2018년,형법범,강력범죄(흉악),강도,215,141,63,4,7
12,2018년,형법범,강력범죄(흉악),방화,110,49,56,2,3
13,2018년,형법범,강력범죄(흉악),살인,11,4,5,0,2
14,2018년,형법범,강력범죄(흉악),성폭력,"3,173","1,052","1,733",55,333
15,2018년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"19,742","7,507","9,184",205,"2,846"
16,2018년,형법범,강력범죄(폭력),공갈,"1,791",803,865,15,108
17,2018년,형법범,강력범죄(폭력),상해,"5,483","2,328","2,877",55,223
18,2018년,형법범,강력범죄(폭력),약취와 유인,13,11,1,0,1
19,2018년,형법범,강력범죄(폭력),체포와 감금,280,130,108,3,39
20,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",51,20,25,0,6
21,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",500,208,267,3,22
22,2018년,형법범,강력범죄(폭력),폭행,"10,918","3,782","4,704",117,"2,315"
23,2018년,형법범,강력범죄(폭력),협박,706,225,337,12,132
24,2018년,형법범,위조범죄,위조범죄의 계[입력치],"1,511",647,774,18,72
25,2018년,형법범,위조범죄,문서,"1,465",623,766,18,58
26,2018년,형법범,위조범죄,유가증권인지우표,12,9,3,0,0
27,2018년,형법범,위조범죄,인장,9,4,4,0,1
28,2018년,형법범,위조범죄,통화,25,11,1,0,13
29,2018년,형법범,공무원범죄,공무원범죄의 계[입력치],3,0,0,0,3
30,2018년,형법범,공무원범죄,수뢰,0,0,0,0,0
31,2018년,형법범,공무원범죄,증뢰,0,0,0,0,0
32,2018년,형법범,공무원범죄,직권남용,2,0,0,0,2
33,2018년,형법범,공무원범죄,직무유기,1,0,0,0,1
34,2018년,형법범,풍속범죄,풍속범죄의 계[입력치],223,78,79,2,64
35,2018년,형법범,풍속범죄,기타음란행위,92,30,59,2,1
36,2018년,형법범,풍속범죄,도박과 복표,130,47,20,0,63
37,2018년,형법범,풍속범죄,신앙,1,1,0,0,0
38,2018년,형법범,과실범죄,과실범죄의 계[입력치],157,60,71,2,24
39,2018년,형법범,과실범죄,과실치사상,69,14,37,1,17
40,2018년,형법범,과실범죄,실화,81,42,32,1,6
41,2018년,형법범,과실범죄,업무상과실치사상,7,4,2,0,1
42,2018년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"2,563",792,"1,091",27,653
43,2018년,형법범,기타형법범죄,공무방해,222,115,90,3,14
44,2018년,형법범,기타형법범죄,공안을해하는죄,3,0,2,0,1
45,2018년,형법범,기타형법범죄,교통방해,5,1,3,0,1
46,2018년,형법범,기타형법범죄,권리행사방해,117,41,60,4,12
47,2018년,형법범,기타형법범죄,내란의죄,3,0,0,0,3
48,2018년,형법범,기타형법범죄,도주와범인은닉,26,18,7,0,1
49,2018년,형법범,기타형법범죄,명예,"1,407",322,570,13,502
50,2018년,형법범,기타형법범죄,무고,72,11,9,0,52
51,2018년,형법범,기타형법범죄,비밀침해,0,0,0,0,0
52,2018년,형법범,기타형법범죄,신용업무경매,181,82,80,2,17
53,2018년,형법범,기타형법범죄,위증과증거인멸,14,0,1,0,13
54,2018년,형법범,기타형법범죄,유기,4,2,1,0,1
55,2018년,형법범,기타형법범죄,음용수에관한죄,0,0,0,0,0
56,2018년,형법범,기타형법범죄,일수와수리에관한죄,0,0,0,0,0
57,2018년,형법범,기타형법범죄,주거침입,506,198,268,5,35
58,2018년,형법범,기타형법범죄,기타,3,2,0,0,1
59,2018년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],"11,937","5,953","4,563",83,"1,338"
60,2018년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,0,0,0,0,0
61,2018년,특별법범,개인정보보호법,개인정보보호법,2,1,0,0,1
62,2018년,특별법범,건축법,건축법,0,0,0,0,0
63,2018년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,89,49,31,0,9
64,2018년,특별법범,경범죄처벌법,경범죄처벌법,69,40,23,1,5
65,2018년,특별법범,공유재산및물품관리법,공유재산및물품관리법,0,0,0,0,0
66,2018년,특별법범,공인중개사법,공인중개사법,0,0,0,0,0
67,2018년,특별법범,공중위생관리법,공중위생관리법,3,2,1,0,0
68,2018년,특별법범,공직선거법,공직선거법,12,6,3,0,3
69,2018년,특별법범,교통사고처리특례법,교통사고처리특례법,"2,577","1,175",742,10,650
70,2018년,특별법범,국민체육진흥법,국민체육진흥법,7,2,4,0,1
71,2018년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,0,0,0,0,0
72,2018년,특별법범,근로기준법,근로기준법,1,0,0,0,1
73,2018년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,0,0,0,0,0
74,2018년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,0,0,0,0,0
75,2018년,특별법범,농지법,농지법,0,0,0,0,0
76,2018년,특별법범,대기환경보전법,대기환경보전법,0,0,0,0,0
77,2018년,특별법범,대부업등의등록및금융이용자보호에관한법률,대부업등의등록및금융이용자보호에관한법률,14,5,8,0,1
78,2018년,특별법범,도로교통법,도로교통법,"4,634","2,569","1,870",33,162
79,2018년,특별법범,도로법,도로법,0,0,0,0,0
80,2018년,특별법범,마약류관리에관한법률,마약류관리에관한법률,58,31,21,1,5
81,2018년,특별법범,병역법,병역법,0,0,0,0,0
82,2018년,특별법범,부정경쟁방지및영업비밀보호에관한법률,부정경쟁방지및영업비밀보호에관한법률,0,0,0,0,0
83,2018년,특별법범,부정수표단속법,부정수표단속법,7,7,0,0,0
84,2018년,특별법범,사행행위등규제및처벌특례법,사행행위등규제및처벌특례법,0,0,0,0,0
85,2018년,특별법범,산림자원의조성및관리에관한법률,산림자원의조성및관리에관한법률,0,0,0,0,0
86,2018년,특별법범,산업안전보건법,산업안전보건법,0,0,0,0,0
87,2018년,특별법범,산지관리법,산지관리법,0,0,0,0,0
88,2018년,특별법범,상표법,상표법,7,0,4,1,2
89,2018년,특별법범,선박안전법,선박안전법,0,0,0,0,0
90,2018년,특별법범,선박직원법,선박직원법,0,0,0,0,0
91,2018년,특별법범,성매매알선등행위의처벌에관한법률,성매매알선등행위의처벌에관한법률,170,105,46,0,19
92,2018년,특별법범,수산업법,수산업법,0,0,0,0,0
93,2018년,특별법범,수산자원관리법,수산자원관리법,0,0,0,0,0
94,2018년,특별법범,물환경보전법,물환경보전법,0,0,0,0,0
95,2018년,특별법범,식품위생법,식품위생법,3,1,0,0,2
96,2018년,특별법범,아동·청소년의성보호에관한법률(성매수등),아동·청소년의성보호에관한법률(성매수등),223,111,79,0,33
97,2018년,특별법범,아동·청소년의성보호에관한법률(음란물등),아동·청소년의성보호에관한법률(음란물등),126,47,72,2,5
98,2018년,특별법범,아동복지법,아동복지법,70,29,36,0,5
99,2018년,특별법범,여객자동차운수사업법,여객자동차운수사업법,2,1,0,1,0
100,2018년,특별법범,여신전문금융업법,여신전문금융업법,87,47,32,2,6
101,2018년,특별법범,외국환거래법,외국환거래법,1,0,0,0,1
102,2018년,특별법범,의료법,의료법,7,4,3,0,0
103,2018년,특별법범,자동차관리법,자동차관리법,228,125,81,3,19
104,2018년,특별법범,자동차손해배상보장법,자동차손해배상보장법,340,181,137,1,21
105,2018년,특별법범,저작권법,저작권법,37,4,7,0,26
106,2018년,특별법범,전자금융거래법,전자금융거래법,247,146,79,0,22
107,2018년,특별법범,정보통신망이용촉진및정보보호등에관한법률,정보통신망이용촉진및정보보호등에관한법률,664,191,299,8,166
108,2018년,특별법범,조세범처벌법,조세범처벌법,0,0,0,0,0
109,2018년,특별법범,주민등록법,주민등록법,958,433,477,9,39
110,2018년,특별법범,청소년보호법,청소년보호법,745,362,326,10,47
111,2018년,특별법범,축산물위생관리법,축산물위생관리법,0,0,0,0,0
112,2018년,특별법범,출입국관리법,출입국관리법,6,5,0,0,1
113,2018년,특별법범,통신비밀보호법,통신비밀보호법,1,0,0,0,1
114,2018년,특별법범,특가법(도주차량),특가법(도주차량),65,38,16,0,11
115,2018년,특별법범,폐기물관리법,폐기물관리법,0,0,0,0,0
116,2018년,특별법범,풍속영업의규제에관한법률,풍속영업의규제에관한법률,2,0,0,0,2
