No,자료시점,분류,분류,분류,소년(소계),14세미만,14세,15세,16세,17세,18세
1,2019년,계,계[입력치],계[입력치],"66,247",,"9,053","11,730","13,548","14,338","17,578"
2,2019년,형법범,형법범계[입력치],형법범계[입력치],"54,497",,"8,322","10,399","11,105","11,090","13,581"
3,2019년,형법범,재산범죄,재산범죄의 계[입력치],"27,809",,"5,077","5,802","6,202","5,274","5,454"
4,2019년,형법범,재산범죄,배임,1,,0,0,0,0,1
5,2019년,형법범,재산범죄,사기,"8,088",,609,"1,023","1,762","2,044","2,650"
6,2019년,형법범,재산범죄,손괴,"1,124",,138,169,219,218,380
7,2019년,형법범,재산범죄,장물,175,,29,28,48,36,34
8,2019년,형법범,재산범죄,절도,"17,141",,"4,175","4,390","3,885","2,631","2,060"
9,2019년,형법범,재산범죄,횡령,"1,280",,126,192,288,345,329
10,2019년,형법범,강력범죄(흉악),강력범죄(흉악)의 계[입력치],"3,665",,487,654,733,839,952
11,2019년,형법범,강력범죄(흉악),강도,366,,38,69,86,78,95
12,2019년,형법범,강력범죄(흉악),방화,99,,31,27,27,9,5
13,2019년,형법범,강력범죄(흉악),살인,20,,2,1,4,5,8
14,2019년,형법범,강력범죄(흉악),성폭력,"3,180",,416,557,616,747,844
15,2019년,형법범,강력범죄(폭력),강력범죄(폭력)의 계[입력치],"18,622",,"2,345","3,326","3,392","3,861","5,698"
16,2019년,형법범,강력범죄(폭력),공갈,"1,750",,276,382,417,368,307
17,2019년,형법범,강력범죄(폭력),상해,"4,995",,664,917,880,"1,110","1,424"
18,2019년,형법범,강력범죄(폭력),약취와 유인,20,,3,0,2,6,9
19,2019년,형법범,강력범죄(폭력),체포와 감금,253,,28,45,34,46,100
20,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",69,,4,21,16,14,14
21,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",542,,141,144,112,74,71
22,2019년,형법범,강력범죄(폭력),폭행,"10,139",,"1,110","1,654","1,711","2,074","3,590"
23,2019년,형법범,강력범죄(폭력),협박,854,,119,163,220,169,183
24,2019년,형법범,위조범죄,위조범죄의 계[입력치],"1,350",,20,119,195,491,525
25,2019년,형법범,위조범죄,문서,"1,310",,20,117,188,476,509
26,2019년,형법범,위조범죄,유가증권인지우표,2,,0,0,0,0,2
27,2019년,형법범,위조범죄,인장,17,,0,1,1,6,9
28,2019년,형법범,위조범죄,통화,21,,0,1,6,9,5
29,2019년,형법범,공무원범죄,공무원범죄의 계[입력치],0,,0,0,0,0,0
30,2019년,형법범,공무원범죄,수뢰,0,,0,0,0,0,0
31,2019년,형법범,공무원범죄,증뢰,0,,0,0,0,0,0
32,2019년,형법범,공무원범죄,직권남용,0,,0,0,0,0,0
33,2019년,형법범,공무원범죄,직무유기,0,,0,0,0,0,0
34,2019년,형법범,풍속범죄,풍속범죄의 계[입력치],192,,17,17,31,40,87
35,2019년,형법범,풍속범죄,기타음란행위,118,,16,12,23,26,41
36,2019년,형법범,풍속범죄,도박과 복표,74,,1,5,8,14,46
37,2019년,형법범,풍속범죄,신앙,0,,0,0,0,0,0
38,2019년,형법범,과실범죄,과실범죄의 계[입력치],131,,25,28,33,20,25
39,2019년,형법범,과실범죄,과실치사상,58,,5,12,15,8,18
40,2019년,형법범,과실범죄,실화,69,,20,16,17,11,5
41,2019년,형법범,과실범죄,업무상과실치사상,4,,0,0,1,1,2
42,2019년,형법범,기타형법범죄,기타형법범죄의 계[입력치],"2,728",,351,453,519,565,840
43,2019년,형법범,기타형법범죄,공무방해,191,,6,11,32,41,101
44,2019년,형법범,기타형법범죄,공안을해하는죄,2,,0,0,1,1,0
45,2019년,형법범,기타형법범죄,교통방해,0,,0,0,0,0,0
46,2019년,형법범,기타형법범죄,권리행사방해,147,,22,33,33,37,22
47,2019년,형법범,기타형법범죄,내란의죄,0,,0,0,0,0,0
48,2019년,형법범,기타형법범죄,도주와범인은닉,27,,0,1,7,4,15
49,2019년,형법범,기타형법범죄,명예,"1,393",,172,215,253,308,445
50,2019년,형법범,기타형법범죄,무고,59,,4,7,12,19,17
51,2019년,형법범,기타형법범죄,비밀침해,0,,0,0,0,0,0
52,2019년,형법범,기타형법범죄,신용업무경매,214,,10,27,32,38,107
53,2019년,형법범,기타형법범죄,위증과증거인멸,12,,1,2,4,2,3
54,2019년,형법범,기타형법범죄,유기,1,,0,0,0,0,1
55,2019년,형법범,기타형법범죄,음용수에관한죄,0,,0,0,0,0,0
56,2019년,형법범,기타형법범죄,일수와수리에관한죄,0,,0,0,0,0,0
57,2019년,형법범,기타형법범죄,주거침입,682,,136,157,145,115,129
58,2019년,형법범,기타형법범죄,기타,0,,0,0,0,0,0
